0,1
表演艺术家 MarniKotak （ 持 玩偶 者 ） 在 布鲁克林 的 “ 显微镜 ” 画廊 生下 一婴 作为 她 艺术作品 的 一部分 。,performance artist Marni Kotak ( holding doll ) gave birth to her child at the Microscope Gallery in Brooklyn as part of an art project .
表演艺术 来源于 生活 而 高于 生活 ， 生活 是 艺术创作 的 来源 ， 取之不尽 用之不竭 的 源泉 。,"performing arts from life than life , life is a source of artistic creation , the source of inexhaustible ."
表演 在 安慰 疗法 中 也 很 重要 。 安慰性 注射 虽然 比 安慰 药丸 有 效果 ， 但是 却 没有 虚假 手术 来得 见效 。,"drama is important , too . placebo injections are more effective than placebo pills , and neither is as potent as sham surgery ."
“ 表演 在 本质 上 给 了 他们 一个 正当 的 理由 去 学习 如何 表达 自己 。 ” 阿伦 森说 。,"&quot; acting gives them an excuse , in essence , to learn how to express themselves , &quot; Aronson said ."
表演者 把 信封 靠近 他 的 脑袋 ， 然后 先 给出 答案 ， 再 打开 信封 ， 读 问题 。,"this is where the entertainer holds an envelope to his head , gives the answer , and then opens the envelope and reads the question ."
表演者 包括 歌手 马尼洛 和 富兰克林 ； 歌手 们 星期五 将 向 观众 献上 一场 彩排 。,"the performers , who include singers Barry Manilow and Aretha Franklin , are treating spectators Friday to a full concert dress rehearsal ."
表演者 会 带来 他 自己 的 吸引力 ， 他 自己 的 感性 ， 他 自己 的 作者 。,"the performer will bring his own appeal , his own sensibility , his own writers ."
表演者 没有 大炮 火药 了 ， 于是 Clifford 吹气 把 她 发射 出去 了 。,the performer doesn &quot; t have any gunpowder for her cannon . so Clifford puffs and helps her out . &quot;
表演者 拿 一个 小 簸箕 在 上面 炒 ， 过 一会 ， 爆米花 就 出来 了 。,the performer put some rise on the cloth and stir @-@ fry it with a small dustpan .
表演者 热情 地向 中国 贵宾 赠送 斯特森 骑士 帽 。,a jockey enthusiastically presented a Stetson horseman hat to the distinguished Chinese guest .
表演者 在 冰上 的 那种 潇洒 的 风格 为 她 赢得 了 许多 朋友 和 一块 金牌 。,the performer &apos;s carefree style on the ice won her many friends and a gold MEDAL .
表演者 在 开幕典礼 庆祝 活动 溅水 的 首届 青年 奥运会 星期六 2010 年 8 月 14 日 在 新加坡 举行 。,"performers splash water during the opening ceremony celebrations of the inaugural Youth Olympic Games Saturday Aug. 14 , 2010 in Singapore ."
表演者 ， 指 演员 或者 其他 表演 文学 、 艺术作品 的 人 。,performer refers to persons who perform literary and artistic works professionally or not professionally .
表演 中 用 打击乐 伴奏 ， 但 狮舞 的 动作 不 受 音乐 节奏 的 限制 ， 音乐 只起 烘托 气氛 的 作用 。,"the performance is accompanied by the percussion music that only sets off the atmosphere by contrast , not limits the lion &apos;s movements ."
表一 ： 对 人体 肠道 的 通透性 ， 作为 替代 标记 使用 极地 糖尿 execretionGIPET 我 的 时间 。,table I : timing of effect of GIPET I on human intestinal permeability using urinary excretion of polar sugars as a surrogate marker .
表 已经 成为 有 身份 或 有 品味 — — 抑或 是 身份 或 品味 低下 — — 的 新 标志 。,as an indicator of one &apos;s status or taste -- or lack thereof -- watches have become the new shorthand .
表意 的 主观性 和 抽象性 导致 小说 偏向 表现 “ 形而上 的 现实 ” 。,the ideographic subjectivity and abstractness results in the emphasis in &quot; metaphysical reality &quot; in novels .
表 英尺 组表 页脚 始终 显示 在 其他 所有 行和行 组 ， 和 之前 的 底部 字幕 。,"table @-@ footer @-@ group Table footer is always displayed after all other rows and row groups , and before any bottom captions ."
表有 8 毫米 厚 的 明确 钢化玻璃 与 抛光 边缘 和 沙丘 抨击 标志 的 顶端 小组 。,table to have 8 mm thick clear tempered glass with polished edges and sand blasted logo on the top panel .
表有 结构 简单 、 口径 大 、 重量轻 、 操作 方便 等 优点 。,"table has a simple structure , large @-@ caliber , light weight , easy to operate , and other advantages ."
表彰 他 在 电路 ， 系统 和 信号处理 ， 尤其 是 数字滤波 方面 的 贡献 。,"for sustained contributions to circuits , systems , and signal processing , especially his seminal work on wave digital filters ."
表征 的 结果显示 PAS 分子筛 具有 更 多 的 适合 蜡 分子 异构化 反应 的 孔径 分布 。,the characterization results of the catalyst show that the PAS molecular sieve has more pore @-@ size distributions for VGO isomeric . . .
表征 的 途径 ， 其中 一项 是 作家 揭示 了 这样 一个 人物 身份证 的 个性 。,characterization The ways in which a which a writer reveals the personality of a character id like .
表征 影像学 表现 上皮 样 血管瘤 ， 我们 审查 了 现有 文献 关于 这一 主题 的 。,"to characterize the imaging appearances of epithelioid hemangioma , we reviewed the available literature on the subject ."
表值 对象 可以 是 表 、 视图 、 函数 、 同义词 或本 地表 。,"a table @-@ valued object can be a table , a view , a function , a synonym , or a local table ."
表中 的 大多数 术语 在 本书 最后 所附 的 “ 名词 汇编 ” 中均 有 说明 。,most of the terms in this list are explained in the glossary at the end of this book .
表中 的 第一列 包含 任务 ， 后面 两列 指明 任务 是否 在 其 原始 平台 上 进行 操作 。,"the first column contains the task , and the next two columns designate whether or not the task works based on its origin ."
表中 光照度 数据 为 上午 和 下午 两次 观测 值 的 平均值 。,the data of solar radiation in the table were the average of forenoon and afternoon .
表中 基因 的 一列 相对 于 表达 数据 发生 了 调换 ， 导致 两项 不 相对 应 。,"the list of genes was shifted with respect to the expression data , so that the one did not correspond with the other ."
表中 继续 述说 着 两个 甚至 更 多 世纪 的 全食 ， 然而 持续时间 逐渐 减少 。,the series continues to produce total eclipses for two more centuries as the duration of totality gradually dwindles .
表中 所列 电 参数 为 参考值 ， 实际 电 参数 会因 使用 条件 的 不同 而 变化 。,electrical data shown in tables is only a reference standard . actual data may be changed by different using conditions .
表中 也 显示 了 每个 版本 的 小计 以及 顾客 的 总费用 。,"the subtotal for each edition is shown , as is the customer &apos;s total balance ."
裱糊 纸板 ： 用多 张较 薄 纸板 裱贴 而成 的 纸板 。 有别于 均质 纸板 。,paste board : Board made from several laminations of thinner sheets . contrast to Homogenous board .
憋 了 几个 月 ， 等 啊 等 ， 等待 市场 推出 一款 你 钟爱 的 平板 电脑 。,"you &apos;ve held out for months , waiting and watching the market for some sign of a tablet that you think you &apos;d like ."
憋死 我 了 ！ 你 也 不 说 ， 我 也 不 说 ， 咱俩 总得 有 一个 来 挑明 吧 ！ 算了 ， 我 不下 地狱 谁 下 地狱 。 我 说 了 “ 我爱你 ” ！,"suffocate me ! you don &apos;t say , I do not say , we have to have a talk ! well , I don &apos;t go to hell who go to hell . I said &quot; I love you &quot; !"
瘪 版 是 堵住 雕镂 或 蚀刻 制成 的 ， 制成 的 版 镀铬 后 会 补充 硬度 ， 以 提矮耐 印度 。,"gravure is done by engraving or etching , version made of chrome @-@ plated will increase the hardness to increase resistance to India ."
瘪 印版 滚筒 不合 为 有轴版 滚筒 和 无轴版 滚筒 。,concaue printing plate cylinder is divided into a shaft of a non @-@ Edition version of the rollers and drum .
瘪 印机 洋 牵引 辊 与 初版 辊 相邻 凡是 撤有 周速 同步 机构 。,gravure press in traction roll and is adjacent to the first edition of roll usually have weekly rate synchronization mechanism .
瘪 印 在 制卡 和 会员卡 制作 金属 油墨 时不入 格 得当 。 柔印 在 上光 方面 也 有 其 独到之处 。,gravure printing in business card printing and membership card when making metallic ink is well @-@ suited for flexo printing in glazing. there .
瘪 制卡 和 会员卡 制作 又 不合 为 雕镂 不 不 凸版 与 拍照 印版 两 栽 。,concaue business card printing and membership card making and engraving gravure and photographic plates .
“ 别 啊 ， ” 他 喊道 ， 冷笑 着 ， “ 我们 可以 把 这 脏东西 当 奴隶 卖 了 呀 ， 正好 可以 换 一碗 酒钱 呢 。 ”,"&apos;Nay , &apos; he cried , laughing , &apos; but we will sell the foul thing for a slave , and his price shall be the price of a bowl of sweet wine . &apos;"
别 按 你 自己 的 想象 认为 他们 需要 什么 ； 做些 用户 研究 去 确切 地 发现 他们 所 需 。,don &apos;t rely on your opinion of what you think they need ; do user research to actually find out .
别 把 关心 你 的 人 扔 在 角落 ， 否则 会 让 你 更 受伤 。,don &apos;t let anyone back you into a corner or you may end up in a vulnerable position .
别 把 火炬 受 干扰 当成 那 整个 城市 或 国家 不可 饶恕 的 罪过 。,don &apos;T behave as though disrupting the Olympic torch relay is an unforgivable sin on the part of an entire city or nation .
别 把 莓果 掉 出来 ， 因为 正如 大家 所知 ， 最快 装满 桶子 的 第一 只熊 就 可以 赢得 比赛 喔 ！,"but take care ! don &apos;t spill any . because as you know , the first bear to fill his bucket wins !"
别 把 你 的 车子 停 在 我 的 房子 外边 ， 你 想想 人家 回 怎么 说 ！,eg Don &apos;t &apos; park your car outside my house ; you know how people talk !
别 把 数学 想象 为 硬梆梆 的 、 死 绞 蛮缠 的 、 令人讨厌 的 、 有悖于 常识 的 东西 ， 它 只不过 是 赋予 常识 以 灵性 的 东西 。,"do not imagine that mathematics is hard and crabbed and repulsive to common sense , it is merely the etherealization of common sense ."
别 把 所有 的 积蓄 花 在 整修 住所 ， 存 下 出游 的 金额 。,don &apos;t all your savings on fixing up your place . save enough to get out of town .
别 把 他 算进去 。 你 还 不 了解 他 吗 。 他 的 决心 持续 不了 三分钟 。,don &apos;t count him in . you know him . his determination is always a flash in the pan .
别 把 它 当作 不切实际 、 或是 必须 经过 选民 公投 通过 的 事情 。,"do not think of it as something utopian , something that electorates have to approve in a referendum ."
别 把 它 丢失 在 你 的 爆米花 里 ， ICM 公司 的 老板 认为 ， 互联网 能够 降低 新 的 电影 拍摄者 的 进入 门槛 。,don &apos;t lose it in your popcorn . ICM &apos;s boss believes that the internet will lower barriers to entry for new film @-@ makers .
“ 别 把 我 的 心 搅乱 了 ， 我 亲爱 的 保罗 ， ” 他 的 妹妹 说道 ， “ 因为 这会 毁 了 我 。,"&apos;don &apos;t flurry me , my dear Paul , &apos; said his sister ; &apos; for that destroys me ."
别 把 我 框死 在 一个 岗位 上 ！ 除了 接电话 ， 我 还 可以 做 许多 其他 事情 ！,don &apos;t pigeonhole me ! there are a lot of other things I can do besides just answer phones !
别 把 我们 两个 人算 在 一块儿 ， 哈丽特 。 拿 我 的 演奏 同 她 的 相比 ， 就 如同 一盏灯 同 太阳 相比 。,"do not CLASS us together , Harriet . my playing is no more like hers than a lamp is like sunlight ."
别 把 我 弄 糊涂 了 ， 力量 举 需要 很多 的 技术 ， 我 刚才 说 的 意思 是 举重 是 更 热门 的 竞技 运动 。,"don &apos;t get me wrong , powerlifting takes allot of skill , I &apos;m just saying thatthereis more athleticism involved in weightlifting ."
别 把 香蕉 船算 我 那份 里 ， 我 想 我 还是 想点份 三克 巧克力 华夫饼 蛋卷 冰激凌 吧 。,count me out for the banana split . I think I &apos;ll go for a triple scoop of chocolate surprise in a waffle cone .
别 把 雪柜 放置 在 煮食 炉 和 发热 源头 旁 ， 也 避免 放在 有 阳光 直接 照射 的 窗户 。,do not locate your fridge next to a cooker ; a window in direct sunlight or near any heating sources .
别 把 一个 人想 的 有 多 高尚 ， 也 别 把 一个 人想 的 有 多 龌龊,"don &apos;t a what person think have much classic , don &apos;t also a what person think have much filth"
别 把 衣服 扔 在 椅子 上 ， 把 它们 挂 起来 。,"don &apos;t fling your clothes about on the chair , hung them up ."
别 把 油漆 胡乱 刷 得 这么 厚 ， 他们 要求 外表 光滑 美观 。,"don &apos;t slosh the paint on so thickly , they want a nice smooth surface ."
别 把 这头 猪 说 成 是 受害者 ， 这个 可怜 的 女人 才 是 受害者 ！ 那些 帮助 她 的 人 都 做 得 很 好 ， 但是 没 必要 把 它 拍 下 了 ！,"don &apos;t make this pig out to be the victim , the poor woman is the victim here ! good on the men who came to her aid , but no need to film it !"
别 把 这些 都 当成 是 你 自己 的 事情 ： 即使 你 是 那个 拿 着 高薪 ， 深感不安 ， 并且 一次 又 一次 地 触及 他们 失望 底线 的 家伙 。,don &apos;t take it personally : even well @-@ paid top dogs feel insecure at work now and again and take their frustrations out on their underlings .
别 把 自己 弄 得 像 个 太监 一样 ， 连 自己 的 理想 都 要 去 遗忘 ， 这样 你 真的 会 开心 ？,"don &apos;t get like a eunuch , even as the ideal are going to forget , so you really happy ?"
别 霸占 着 你 不用 的 东西 ！ 既然 你 下午 有课 ， 就 把 网球拍 让 我 用 。,don &apos;t be such a dog in the manger . give the tennis racket to me since you have classes this afternoon .
别 拌嘴 了 ， 女士们 。 就让 我们 也 偶尔 在 舒适 的 床上 享受 一个 平静 的 夜晚 吧 。,"Roy : no fighting , ladies . let &apos;s enjoy a peaceful night in a restful bed for a change ."
别 抱怨 你 假期 花钱 太 多 ， 你 倒 是 玩 得 痛快 。 鱼与熊掌 不可 兼得 嘛 。,"don &apos;t grumble about your expensive holiday , you had great fun . you can &apos;t eat your cake and have it , too ."
别 被 教条 捆住 了 ， 否则 你 就 只是 生活 在 别人 思考 的 结果 里 。,"don &apos;t be trapped by dogma , which is living with the results of other people &apos;s thinking ."
别 被 名字 给 弄混 了 ， 它 出售 的 是 时髦 的 围裙 、 手袋 、 钱包 以及 非常 传统 式样 的 垫 桌布 。,"don &apos;t be fooled by the name , for they sell funky aprons , bags , purses and table mats with gorgeous traditional patterns ."
别 被 秋分 日 昼夜 长短 相等 的 概念 愚弄 了 。,don &apos;t be fooled by the notion that on the autumnal equinox the length of day is exactly equal to the length of night .
别 被 他 谦虚 的 态度 骗 了 ， 其实 他 是 个 很 骄傲 的 人 。,don &apos;t be fooled by his unassuming manner ; he is really a very proud man .
别 被 这个 狡猾 的 忍者 所 愚弄 ！ 这 其实 是 一个 优盘 。,do not be fooled by this slick ninja ! it is actually a USB flash drive .
别 逼 着 他们 告诉 你 他们 的 心事 。 那 将 惹怒 他们 ， 可能 另 他们 感觉 更糟 。,"don &apos;t push them to tell you what &apos;s on their mind . that &apos;ll annoy them , and likely make them feel worse ."
别别 ， 没 但是 。 只要 你 客观 点 看待 这个 情况 ， 这份 工作 就 该 归 我 。,"no . no buts . when you look at the situation objectively , I should get the job ."
“ 别 ， 别着急 放下 灯笼 ， 看来 ， 还有 一个 要 出来 ！ ” ， 医生 不由得 惊叫 起来 。,"&quot; no , don &apos;t be in a hurry to put down that lantern , it seems there &apos;s yet another one coming ! &quot; cried the doctor ."
别 不 承认 你 内心 最深处 的 事情 ， 爱 她 胜过 爱 你 自己 ， 没有 她 你 的 生活 毫无意义 。,do not take for granted the things closest to your heart . love her more than you love yourself . life is meaningless without her .
别 不假思索 的 就 怪罪 于 母亲 ： 一个 爱哭 的 、 得腹 绞痛 的 宝宝 也 同样 会 是 由 父亲 的 情绪 而 影响 形成 的 ， 荷兰 研究 人员 的 报告 说 。,"don &apos;t automatically blame mom : a crying , colicky baby can be just as much the result of dad &apos;s state of mind , Dutch researchers report ."
别 操心 化妆 了 这样 可以 让 你 的 皮肤 透透气 - - 但 得 确保 先抹 上 滋润霜 。,don &apos;t bother with make @-@ up so that your skin can breathe --but make sure you moisturise first .
别缠 我 了 ， 要 不 我 就 把 你 关进 橱柜 里 去 了 ！,do not tease me ; else I shall shut thee into the dark closet !
别抄 杰克逊 的 观点 了 ， 他 那 一套 现实主义 已经 用够 了 ， 再也 没有 什么 意思 。,"don &apos;t copy Jackson &apos;s ideas , the realism he uses has been worked to death many times and is no longer interesting ."
别 嘲笑 我 了 。 我 是 认真 的 。 我 以前 从来 没有 被 要求 写 这种 报告 ， 我 只 写 研究 报告 。,"don &apos;t laugh at me , please . I &apos;m serious . I &apos;ve never been required to write this kind of report before , I only do the research reports ."
“ 别吵 ！ 你们 这些 蠢 孩子 ！ ” 当 她们 去 敲门 的 时候 ， 他 这样 说 。,"buzz off , you stupid kids , &quot; he said when they knocked on the door . &quot;"
别 臭美 了 ， 我 又 不是 专为 你 做 的 ， 我 每个 周末 都 这样 吃 。,"2 , &apos; Don &apos;t flatter yourself , it &apos;s not for you I did this , I eat like this every weekend . &apos;"
别处 ， 在 靠近 塞纳河 处 ， 甚至 在 离河 还 相当 远 的 地方 ， 比如 在 贝尔 维尔 、 在 大道 和 吕尼埃 通道 上 。,"elsewhere near the Seine , and even at a considerable distance from the river , as for instance , at Belleville , Grand @-@ Rue and Lumiere Passage ."
别 吹牛 了 ， 人们 说 ， 真是 搞笑 。 心智 正常 的 人 不会 将 英国 君主制 的 庄严 和 对 自由 的 威胁 混淆 。,"come off it , they say , it &apos;s all a bit of fun , and no one in their right mind confuses British monarchical grandeur with a threat to liberties ."
别 从 你 的 乐队 里拿些 第三 单簧 或者 第二 低音 声部 的 谱 来 做 考试 材料 。,do not take something like the 3rd clarinet part or the 2nd bassoon part of a work from your band or orchestra folder as audition material .
别 错过机会 - - 我 向 你 保证 我 的 投资 方法 可以 使 你 的 收入 在 一年 内 翻番 。,don &apos;t miss the boat -- I guarantee you that my investment approach will double your income within a year .
别错过 了 上帝 赐给 你们 彼此 享受 那 甜美 沟通 的 福气 。,don &apos;t miss the great blessing God has in store for you and your spouse as you enjoy sweet communion with each other .
别 错误 的 认为 你 能 通过 私交 ， 表现 人性化 的 一面 ， 就 能 让 你 的 恶霸 老板 熄火 。,don &apos;t mistakenly think you can defuse a bully by getting personal and showing your human side .
别 打断 谈话 ， 这 不 礼貌 ， 并 表示 出 你 认为 你 要说 的 比 他们 说 的 要 更 重要 。,"don &apos;t interrupt . it &apos;s rude , and it communicates that you think what you have to say is more important that what they have to say ."
别 打搅 我 妹妹 。 要是 我 再 看到 你 靠近 她 ， 我 就要 狠狠 地 揍 你 一顿 了 。,"stop annoying my sister . if I see you near her again , I &apos;ll knock the living daylights out of you ."
别 打 她 家里 电话 ， 要不然 她 会 滔滔不绝 地说 几个 小时 。,"don &apos;t call her at home , otherwise she will talk your ears off ! don &apos;t call her at home , otherwise she will talk non @-@ stop for hours !"
别 耽搁 ， 别 疏忽 ， 因为 我 将 不会 再 走 一回 了 。,"let me not defer or neglect it , for I shall not pass this way again ."
别 担心 啊 ， 至少 还有 我 陪 你 嘛 ， 我们 玩 一会 网路 游戏 好 吗 ？,"Linda : don &apos;t worry , at least I am with you , shall we play online game for a while ?"
别 担心 。 把 那个 冰桶 给 我 ， 然后 把 这个 拿到 隔壁 去 。,Betty : do not worry . pass me that ice bucket and take this next door .
别 担心 董事长 对 接受 出价 如何 反应 ， 他 正 斗志 旺盛 呢 。,don &apos;t worry about how the Chairman might react to the takeover bid ; there &apos;s plenty of fight left in him .
“ 别 担心 ， 夫人 。 ” 布莱克 先生 说 ， “ 你 应该 减肥 ， 如果 你 按 我 说 得 去 做 你 有 可能 穿 上 你 的 外套 了 。 ”,"&quot; it doesn &apos;t matter , madam , &quot; said Mr Black , &quot; You have to lose some weight . you &apos;ll be able to wear your coat if you do all that I say . &quot;"
别 担心 ， 服用 Liquid - Plumr - Cardio 后 ， 你 的 舌头 只会 绿 一两个 小时 。,"don &apos;t worry , your tongue will only stay neon green for an hour or two after consuming Liquid @-@ Plumr @-@ Cardio ."
别 担心 - - 规则 跟 规则 不 一样 （ 有 的 规则 比 其他 规则 重要 ， 容易 疏忽 等 ） 。,"don &apos;t worry there are rules and rules , ie Some rules are more important , more easy to ignore , etc than others ."
别 担心 化妆 了 ， 这样 可以 让 你 的 皮肤 透透气 — — 但是 皮肤 上 涂抹 上 滋润霜 。,"don &apos;t bother with make @-@ up so that you skin can breathe , but make sure you moisturise first ."
别 担心 会 被 水母 螫 到 ， 这些 水母 没有 天敌 ， 所以 牠 们 的 螫 刺 是 无害 的 。,don &apos;t worry about getting stung . these jellyfish have no natural enemies and their stingers are harmless .
别 担心 ！ 假如 你 噎到 的话 ， 我会 替 你 做谦烈 治 拯救 法 的 ！,may : don &apos;t worry ! if you start choking I &apos;ll perform the Heimlich Manoeuvre on you !
别 担心 ， 叫做 无尾熊 完全 无损于 他 是 一位 电脑 专家 啦 !,Yuna : dont &apos;s worry.Being called Koala doesn &apos;t make him any less of a computer expert .
别 担心 ， 警察 不会 因为 你 说 了 几句 出格 的话 就 来 抓 你 的 ， 真理 在 你 一边 ， 你 不会 有事 的 。,"don &apos;t worry , the police won &apos;t arrest you because you said something unusual . truth is on your side. you &apos;ll come out scot @-@ free ."
别 担心 老板 ， 就 我 的 白内障 看来 ， 你 只是 看上去 像 个 坏蛋 。,"don &apos;t worry Boss , with my cataracts , you only sort of look like the bad guys ."
别 担心 了 。 今年 我 和 你 一起 去 ， 帮 你 挑些 清淡 的 。 我 一直 都 想 去 见识一下 年货 市场 。,don &apos;t worry . I &apos;ll go with you and help you pick something light this year . I &apos;ve always wanted to see the New Year Market .
别 担心 没 进校 队 的 事 ， 你 还有 机会 的 。,don &apos;t worry about not making the varsity team ; you &apos;ll always have next year .
别 担心 你 的 钢琴 独奏会 。 船到桥头 自然 直 。,stop worrying about your piano recital . you &apos;ll cross that bridge when you come to it .
别 担心 你 的 梦想 不太 实际 ， 只要 你 觉得 可能 实现 ， 就是 个 好 梦想 。,"if your dream strikes you as too improbable , don &apos;t worry . if it &apos;s possible in your head , it qualifies as a good dream ."
别 担心 你 写 下来 的 东西 没有 （ 或者 欠缺 ） 理性 ， 因为 头脑 风暴 活动 结束 后 ， 你 可以 选择 保留 还是 抛弃 哪些 概念 。,"don &apos;t worry about the ( lack of ) sense of what you write , for you can chose to keep or toss out these ideas when the activity is over ."
别 担心 。 你 只要 围 上 头巾 ， 穿 上 衣服 ， 你 就 看上去 很 有 女性 味 了 。,don &apos;t worry about it . with your kerchief and your clothes you look very feminine .
别 担心 其它 小组 的 反对 意见 ， 你 正在 做 对 的 事 ， 逆境 出 人才 。,don &apos;t worry about opposition from those groups . you are doing the right thing . a kite rises against the wind .
别 担心 . 让 我们 先 用 灰色 眼影 笔在 你 的 眼睫毛 外侧 画上 眼线 . 然后 用 手指头 把 眼线 涂开 . 下 一步 . 刷 上 一层 淡蓝色 的 眼影 在 眉毛 下 . 来 增加 一点 立体感 .,let &apos;s apply gray eye pencil to the outside half of your upper eyelash line first . then use your finger to smudge the line .
别 担心 ， 如果 你 在 闻 海地 咖啡 时 把 这种 苹果 香味 和 新割 青草 的 味道 搞混 的话 是 没有 人会 怪 你 的 。,"don &apos;t worry , no one would blame you if you mistook it for the scent of freshly mown grass when smelling a Haitai coffee for example ."
“ 别 担心 ， ” 她 笑 着 ， 一面 看看 他 的 脚 。 “ 你 的 聪明才智 挽救 了 今天 的 婚礼 。 ”,"&quot; don &apos;t worry , &quot; she laughed , looking down at his feet , &quot; Your brilliance saved the day . &quot;"
“ 别 担心 ， 太太 ， ” 士兵 们 对 她 说 ， “ 我们 不是 冲 孩子 开战 。 ”,"&quot; don &apos;t worry , Senora , &quot; the commando told her . &quot; we aren &apos;t fighting a war on children . &quot;"
别 担心 ！ 天气预报 员 说 ， 在 这个 周末 之前 ， 会 有 一阵子 的 冷 天气 。,don &apos; t worry ! the weatherman says we &apos; ll have a cold spell before the end of this week .
别 担心 ， 为了 照顾 你 ， 这份 高中毕业 就 能 读懂 ？ 沟眯荒 ？ 哥们儿 。,"don &apos;t worry . in deference to you , I kept them all at a high school graduate reading level . thanks , pal ."
别 担心 。 我 把 地图 从 杂物 柜里 拿出 来看 一下 … … 嗯 ， 我们 在 哪里 ？,"don &apos;t worry . I &apos;ll take out the map from the glove compartment and take a look . . . uh , where are we ?"
别 担心 ， 我 的 木头 朋友 们 ！ 你们 对 闪电 已经 有 很 好 的 防护 了 。,"gnome : don &apos;t worry , my wooden friends ! you are well @-@ protected against any lightning attacks !"
